COURSE,COURSE TITLE,CREDIT UNIT,MARK,GRADE SCORE,USA Grades Equivalency,USA Weighted Score Equivalency
ACC111,Principles of Accounting 1,2.0,77.0,A,A,8.0
CSC111,"Introduction to ComputerScience",3.0,66.0,B,B+,9.9
CST111,"Computer Application andLibrary Studies 1P",2.0,81.0,A,A,8.0
ECN111,Introduction to Economics I,2.0,71.0,A,A,8.0
EDS111,"Entrepreneurial DevelopmentStudies I",1.0,80.0,A,A,4.0
GST111,Communication in English I,2.0,70.0,A,A,8.0
MAT111,Mathematics I: Algebra,3.0,63.0,B,B+,9.9
MAT112,"Mathematics II: Trigonometryand Geometry",2.0,81.0,A,A,8.0
PHY111,"Mechanics and Properties ofMatter",2.0,72.0,A,A,8.0
TMC111,Total Man Concept I,1.0,83.0,A,A,4.0
TMC112,Total Man Concept - Sports,0.0,70.0,A,A,0.0
Semester 2,,,,,,
ACC121,Principles of Accounting II,2.0,81,A,A,8.0
BUS124,Business Communication,2.0,81,A,A,8.0
CSC121,Introduction to Problem Solving,2.0,81,A,A,8.0
CST121,"Use of Library, Study Skills andInformation Commu",2.0,79.0,A,A,8.0
ECN121,Introduction to Economics II,2.0,72.0,A,A,8.0
EDS121,"Entrepreneurial DevelopmentStudies II",1.0,59.0,C,B,3.0
GST121,Communication in English II,2.0,60.0,B,B+,6.6
GST122,Communication in French,2.0,81.0,A,A,8.0
MAT121,Mathematics V: Calculus,3.0,73.0,A,A,12.0
MAT122,Mathematics VI: Vector Algebra,2.0,68.0,B,B+,6.6
TMC121,Total Man Concept II,1.0,79.0,A,A,4.0
TMC122,Total Man Concept - Sports,0.0,70.0,A,A,0.0
CSC125,Operating System I,3.0,71.0,A,A,12.0
CIT121,"Microsoft Office Specialist onMicrosoft Office 20",0.0,69.0,B,B+,0.0
CIT141,COMPTIA II,0.0,57.0,C,B,0.0
Semester 3,,,,,,
BFN211,Business Finance 1,2.0,78.0,A,A,8.0
BUS211,Principles of Management I,2.0,70.0,A,A,8.0
CBS111,"Mathematics for Business andSocial Sciences IY",3.0,93.0,A,A,12.0
CIT211,"Java Foundations Certified JuniorAssociate",0.0,73.0,A,A,0.0
CSC211,Computer Programming I,3.0,79.0,A,A,12.0
CSC213,Structured Programming,3.0,90.0,A,A,12.0
CSC214,High Performance Computing andData ManTagement,3.0,88.0,A,A,12.0
DLD111,FouDeEndations of Leadershipvelopment,0.0,79.0,A,A,0.0
EDS211,"Entrepreneurial DevelopmentStudies III",1.0,74.0,A,A,4.0
GSST211,"Logic, Philosophy and HumanExistence",2.0,53.0,C,B,6.0
TMC211,Total Man Concept III,1.0,76.0,A,A,4.0
TMC212,Total Man Concept - Sports,0.0,70.0,A,A,0.0
Semester 4,,,,,,
BUS221,Principles of Management II,2.0,64,B,B+,6.6
CBS121,"Statistics of Business and SocialScience I",3.0,92.0,A,A,12.0
CIT221,"Oracle Database 12c: SQLFundamenta ls",0.0,70.0,A,A,0.0
CSC221,Computer Programming II,3.0,88.0,A,A,12.0
CSC225,Operating Systems,3.0,79.0,A,A,12.0
DLD121,Leadership Current Realities,0.0,85.0,A,A,0.0
EDS221,"Entrepreneurial DevelopmentStudies IV",1.0,91.0,A,A,4.0
GST221,Nigerian People and Culture,2.0,79.0,A,A,8.0
GST222,Peace and Conflict Studies,2.0,81.0,A,A,8.0
